id,year,sex,education,no_kids,health_org,satisf_org,health_std,satisf_std
1596,2002,0,15,0,3,5,-0.463917523622513,-1.22727274894714
1596,2003,0,15,0,4,6,0.567010283470154,-0.659090936183929
1596,2004,0,15,0,1,2,-2.52577328681946,-2.93181824684143
1889,2000,0,11.5,0,4,8,0.567010283470154,0.477272719144821
1889,2001,0,11.5,0,4,6,0.567010283470154,-0.659090936183929
1889,2002,0,11.5,0,4,8,0.567010283470154,0.477272719144821
1889,2003,0,11.5,0,4,9,0.567010283470154,1.04545450210571
1889,2004,0,11.5,0,3,5,-0.463917523622513,-1.22727274894714
2160,2000,1,9,0,3,7,-0.463917523622513,-0.0909090936183929
2160,2001,1,9,0,2,7,-1.49484539031982,-0.0909090936183929
2160,2002,1,9,0,2,7,-1.49484539031982,-0.0909090936183929
2160,2003,1,,0,3,7,-0.463917523622513,-0.0909090936183929
2160,2004,1,,0,3,6,-0.463917523622513,-0.659090936183929
2241,2000,0,9,0,1,3,-2.52577328681946,-2.36363625526428
2241,2001,0,9,0,2,4,-1.49484539031982,-1.79545450210571
2241,2002,0,9,0,2,4,-1.49484539031982,-1.79545450210571
2241,2003,0,9,0,2,4,-1.49484539031982,-1.79545450210571
2241,2004,0,9,0,2,5,-1.49484539031982,-1.22727274894714
2579,2000,0,10.5,0,3,9,-0.463917523622513,1.04545450210571
2579,2001,0,10.5,0,3,10,-0.463917523622513,1.61363637447357
2579,2002,0,,0,3,8,-0.463917523622513,0.477272719144821
2579,2003,0,,0,3,8,-0.463917523622513,0.477272719144821
2655,2000,0,10.5,0,4,7,0.567010283470154,-0.0909090936183929
2878,2000,1,7,3,4,7,0.567010283470154,-0.0909090936183929
2878,2001,1,7,,4,9,0.567010283470154,1.04545450210571
2878,2002,1,7,,2,6,-1.49484539031982,-0.659090936183929
3240,2000,1,18,0,2,8,-1.49484539031982,0.477272719144821
3240,2001,1,18,0,1,5,-2.52577328681946,-1.22727274894714
3240,2002,1,18,0,1,4,-2.52577328681946,-1.79545450210571
3240,2003,1,18,0,2,9,-1.49484539031982,1.04545450210571
3240,2004,1,18,0,1,7,-2.52577328681946,-0.0909090936183929
3535,2000,1,10.5,0,3,9,-0.463917523622513,1.04545450210571
3535,2001,1,10.5,0,3,10,-0.463917523622513,1.61363637447357
3535,2002,1,10.5,0,3,8,-0.463917523622513,0.477272719144821
3535,2003,1,10.5,0,4,8,0.567010283470154,0.477272719144821
3535,2004,1,10.5,0,2,8,-1.49484539031982,0.477272719144821
3787,2000,1,10.5,0,3,8,-0.463917523622513,0.477272719144821
3787,2001,1,10.5,0,2,8,-1.49484539031982,0.477272719144821
3787,2002,1,10.5,0,2,6,-1.49484539031982,-0.659090936183929
3787,2003,1,10.5,0,2,7,-1.49484539031982,-0.0909090936183929
3787,2004,1,10.5,0,1,6,-2.52577328681946,-0.659090936183929
4107,2000,0,12,1,4,9,0.567010283470154,1.04545450210571
4107,2001,0,12,1,4,8,0.567010283470154,0.477272719144821
4107,2002,0,12,1,5,9,1.59793817996979,1.04545450210571
4107,2003,0,12,1,3,8,-0.463917523622513,0.477272719144821
4107,2004,0,12,2,3,8,-0.463917523622513,0.477272719144821
4270,2000,1,11.5,0,4,10,0.567010283470154,1.61363637447357
4270,2001,1,11.5,0,3,10,-0.463917523622513,1.61363637447357
4485,2000,1,12,1,4,6,0.567010283470154,-0.659090936183929
4485,2001,1,12,1,4,6,0.567010283470154,-0.659090936183929
4485,2002,1,12,1,4,6,0.567010283470154,-0.659090936183929
4573,2000,0,10.5,0,3,8,-0.463917523622513,0.477272719144821
4573,2001,0,10.5,0,3,8,-0.463917523622513,0.477272719144821
4573,2002,0,10.5,0,3,8,-0.463917523622513,0.477272719144821
4573,2003,0,10.5,0,3,8,-0.463917523622513,0.477272719144821
4663,2000,0,10.5,1,2,2,-1.49484539031982,-2.93181824684143
4663,2001,0,10.5,,3,5,-0.463917523622513,-1.22727274894714
4663,2002,0,10.5,,2,2,-1.49484539031982,-2.93181824684143
4663,2003,0,10.5,,1,2,-2.52577328681946,-2.93181824684143
4663,2004,0,10.5,,2,4,-1.49484539031982,-1.79545450210571
4906,2000,1,18,0,2,6,-1.49484539031982,-0.659090936183929
4906,2001,1,18,0,3,7,-0.463917523622513,-0.0909090936183929
4906,2002,1,18,0,3,7,-0.463917523622513,-0.0909090936183929
4906,2003,1,18,0,2,4,-1.49484539031982,-1.79545450210571
4906,2004,1,18,0,3,5,-0.463917523622513,-1.22727274894714
4933,2000,0,18,0,4,7,0.567010283470154,-0.0909090936183929
4933,2001,0,18,0,3,7,-0.463917523622513,-0.0909090936183929
4933,2002,0,18,0,2,4,-1.49484539031982,-1.79545450210571
4933,2003,0,18,0,4,5,0.567010283470154,-1.22727274894714
4933,2004,0,18,0,3,7,-0.463917523622513,-0.0909090936183929
5091,2000,0,10.5,0,5,9,1.59793817996979,1.04545450210571
5091,2001,0,,0,5,7,1.59793817996979,-0.0909090936183929
5091,2002,0,,0,4,7,0.567010283470154,-0.0909090936183929
5091,2003,0,,0,5,7,1.59793817996979,-0.0909090936183929
5091,2004,0,,0,5,8,1.59793817996979,0.477272719144821
5253,2000,1,16,0,1,5,-2.52577328681946,-1.22727274894714
5253,2001,1,16,0,1,4,-2.52577328681946,-1.79545450210571
5253,2002,1,16,0,2,7,-1.49484539031982,-0.0909090936183929
5253,2003,1,16,0,2,6,-1.49484539031982,-0.659090936183929
5253,2004,1,16,0,2,5,-1.49484539031982,-1.22727274894714
5300,2001,0,,1,4,7,0.567010283470154,-0.0909090936183929
5541,2004,0,14,1,4,7,0.567010283470154,-0.0909090936183929
5605,2000,1,11.5,0,4,10,0.567010283470154,1.61363637447357
5605,2001,1,11.5,0,4,10,0.567010283470154,1.61363637447357
5605,2002,1,11.5,0,4,5,0.567010283470154,-1.22727274894714
5605,2003,1,11.5,0,3,3,-0.463917523622513,-2.36363625526428
5605,2004,1,11.5,0,4,5,0.567010283470154,-1.22727274894714
5610,2000,1,10,2,4,2,0.567010283470154,-2.93181824684143
5610,2001,1,10,2,4,9,0.567010283470154,1.04545450210571
5610,2002,1,10,2,4,6,0.567010283470154,-0.659090936183929
5728,2000,1,11.5,2,3,5,-0.463917523622513,-1.22727274894714
5728,2002,1,11.5,2,3,6,-0.463917523622513,-0.659090936183929
5728,2003,1,11.5,3,3,8,-0.463917523622513,0.477272719144821
5728,2004,1,11.5,3,3,5,-0.463917523622513,-1.22727274894714
6054,2003,1,,3,5,7,1.59793817996979,-0.0909090936183929
6054,2004,1,,2,4,7,0.567010283470154,-0.0909090936183929
6298,2000,1,11.5,0,5,8,1.59793817996979,0.477272719144821
6298,2001,1,11.5,0,4,8,0.567010283470154,0.477272719144821
6298,2003,1,11.5,0,3,6,-0.463917523622513,-0.659090936183929
6298,2004,1,11.5,0,4,7,0.567010283470154,-0.0909090936183929
6545,2000,0,9,0,3,9,-0.463917523622513,1.04545450210571
6545,2001,0,,0,3,5,-0.463917523622513,-1.22727274894714
6545,2002,0,,0,3,8,-0.463917523622513,0.477272719144821
6545,2003,0,,0,4,9,0.567010283470154,1.04545450210571
6545,2004,0,,0,4,8,0.567010283470154,0.477272719144821
6668,2000,1,14,1,4,8,0.567010283470154,0.477272719144821
6668,2001,1,14,1,3,7,-0.463917523622513,-0.0909090936183929
6668,2002,1,14,1,3,7,-0.463917523622513,-0.0909090936183929
6668,2003,1,14,0,4,7,0.567010283470154,-0.0909090936183929
6668,2004,1,14,0,3,7,-0.463917523622513,-0.0909090936183929
6674,2000,0,,2,5,8,1.59793817996979,0.477272719144821
6674,2001,0,,2,5,8,1.59793817996979,0.477272719144821
6674,2002,0,,2,4,7,0.567010283470154,-0.0909090936183929
6674,2003,0,,2,4,8,0.567010283470154,0.477272719144821
6674,2004,0,,2,4,8,0.567010283470154,0.477272719144821
7013,2000,1,16,0,2,4,-1.49484539031982,-1.79545450210571
7324,2000,1,10.5,2,1,4,-2.52577328681946,-1.79545450210571
7324,2001,1,10.5,,1,6,-2.52577328681946,-0.659090936183929
7384,2000,1,15,0,4,10,0.567010283470154,1.61363637447357
7384,2001,1,15,0,4,10,0.567010283470154,1.61363637447357
7384,2002,1,15,0,4,9,0.567010283470154,1.04545450210571
7384,2003,1,15,1,4,5,0.567010283470154,-1.22727274894714
7384,2004,1,15,1,5,9,1.59793817996979,1.04545450210571
7602,2000,0,9,0,4,8,0.567010283470154,0.477272719144821
7947,2000,0,11,0,3,10,-0.463917523622513,1.61363637447357
7947,2001,0,11,0,2,5,-1.49484539031982,-1.22727274894714
7947,2002,0,11,1,2,5,-1.49484539031982,-1.22727274894714
7947,2003,0,11,1,3,6,-0.463917523622513,-0.659090936183929
7947,2004,0,11,1,3,10,-0.463917523622513,1.61363637447357
8292,2000,1,11.5,0,3,4,-0.463917523622513,-1.79545450210571
8549,2000,0,11.5,0,3,8,-0.463917523622513,0.477272719144821
8554,2000,0,10.5,1,3,9,-0.463917523622513,1.04545450210571
8554,2001,0,10.5,1,4,9,0.567010283470154,1.04545450210571
8554,2002,0,10.5,1,3,9,-0.463917523622513,1.04545450210571
8554,2003,0,10.5,1,3,9,-0.463917523622513,1.04545450210571
8554,2004,0,10.5,1,3,8,-0.463917523622513,0.477272719144821
8741,2000,1,11,3,4,5,0.567010283470154,-1.22727274894714
8741,2002,1,10.5,3,2,6,-1.49484539031982,-0.659090936183929
8741,2003,1,10.5,3,4,4,0.567010283470154,-1.79545450210571
8741,2004,1,10.5,3,3,8,-0.463917523622513,0.477272719144821
9014,2000,0,18,0,5,9,1.59793817996979,1.04545450210571
9014,2001,0,18,0,4,10,0.567010283470154,1.61363637447357
9014,2002,0,18,0,4,10,0.567010283470154,1.61363637447357
9014,2003,0,18,0,4,9,0.567010283470154,1.04545450210571
9014,2004,0,18,0,4,10,0.567010283470154,1.61363637447357
9259,2000,1,,0,3,9,-0.463917523622513,1.04545450210571
9259,2001,1,,0,2,7,-1.49484539031982,-0.0909090936183929
9259,2002,1,,0,2,5,-1.49484539031982,-1.22727274894714
9633,2000,0,9,0,3,8,-0.463917523622513,0.477272719144821
9652,2000,1,12,0,3,7,-0.463917523622513,-0.0909090936183929
9652,2001,1,12,0,3,9,-0.463917523622513,1.04545450210571
9652,2002,1,12,0,3,9,-0.463917523622513,1.04545450210571
9652,2003,1,12,0,3,7,-0.463917523622513,-0.0909090936183929
9652,2004,1,12,0,3,8,-0.463917523622513,0.477272719144821
9900,2000,0,10,1,2,4,-1.49484539031982,-1.79545450210571
10260,2000,1,10.5,0,2,8,-1.49484539031982,0.477272719144821
10260,2001,1,10.5,0,4,9,0.567010283470154,1.04545450210571
10260,2002,1,10.5,0,2,7,-1.49484539031982,-0.0909090936183929
10371,2000,0,,1,4,9,0.567010283470154,1.04545450210571
10371,2001,0,,1,3,7,-0.463917523622513,-0.0909090936183929
10371,2002,0,,1,4,9,0.567010283470154,1.04545450210571
10371,2003,0,,1,2,7,-1.49484539031982,-0.0909090936183929
10371,2004,0,,1,3,6,-0.463917523622513,-0.659090936183929
10566,2000,0,10.5,3,5,8,1.59793817996979,0.477272719144821
10566,2001,0,10.5,3,5,8,1.59793817996979,0.477272719144821
10566,2002,0,10.5,0,4,7,0.567010283470154,-0.0909090936183929
10566,2003,0,10.5,0,4,7,0.567010283470154,-0.0909090936183929
10566,2004,0,10.5,0,5,5,1.59793817996979,-1.22727274894714
10592,2000,0,14,0,1,1,-2.52577328681946,-3.5
10654,2000,1,14,0,5,9,1.59793817996979,1.04545450210571
10654,2001,1,14,0,5,10,1.59793817996979,1.61363637447357
10654,2002,1,14,1,5,9,1.59793817996979,1.04545450210571
10654,2003,1,14,1,5,10,1.59793817996979,1.61363637447357
10654,2004,1,14,1,4,7,0.567010283470154,-0.0909090936183929
11023,2000,0,13,1,2,5,-1.49484539031982,-1.22727274894714
11023,2001,0,13,1,3,4,-0.463917523622513,-1.79545450210571
11023,2002,0,13,1,3,4,-0.463917523622513,-1.79545450210571
11023,2003,0,13,1,3,4,-0.463917523622513,-1.79545450210571
11023,2004,0,13,1,3,5,-0.463917523622513,-1.22727274894714
11050,2000,0,10.5,2,4,9,0.567010283470154,1.04545450210571
11050,2001,0,10.5,2,3,7,-0.463917523622513,-0.0909090936183929
11050,2002,0,10.5,2,4,8,0.567010283470154,0.477272719144821
